ID,Type,SKU,Name,Published,Featured,Visibility in catalog,Short description,Description,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: _wcj_product_price_by_user_role_enabled
,variable,MS-411-B-SX,Segnale di Corsia Chiusa Sinistra Fig. 411/b sx,1,0,visible,"Targa temporanea per cantieri stradali che avvisa i conducenti della chiusura della corsia sinistra, indicando la necessità di spostarsi verso destra.","Targa temporanea per cantieri stradali che avvisa i conducenti della chiusura della corsia sinistra, indicando la necessità di spostarsi verso destra.",taxable,,1,,0,0,,,,,1,,,,Cantieristica,,,,,,,,,,,,0,Taglia,60×90 cm|90×135 cm,1,1,
,variation,MS-411-B-SX-60X90-CM,Segnale di Corsia Chiusa Sinistra Fig. 411/b sx,1,0,visible,"Targa temporanea per cantieri stradali che avvisa i conducenti della chiusura della corsia sinistra, indicando la necessità di spostarsi verso destra.","Targa temporanea per cantieri stradali che avvisa i conducenti della chiusura della corsia sinistra, indicando la necessità di spostarsi verso destra.",taxable,,1,,0,0,,,,,1,,,40.94,Cantieristica,,,,,,MS-411-B-SX,,,,,,0,Taglia,60×90 cm,1,1,
,variation,MS-411-B-SX-90X135-CM,Segnale di Corsia Chiusa Sinistra Fig. 411/b sx,1,0,visible,"Targa temporanea per cantieri stradali che avvisa i conducenti della chiusura della corsia sinistra, indicando la necessità di spostarsi verso destra.","Targa temporanea per cantieri stradali che avvisa i conducenti della chiusura della corsia sinistra, indicando la necessità di spostarsi verso destra.",taxable,,1,,0,0,,,,,1,,,91.34,Cantieristica,,,,,,MS-411-B-SX,,,,,,0,Taglia,90×135 cm,1,1,
,variable,MS-411-C,Segnale di Corsie Chiuse Fig. 411/c,1,0,visible,,,taxable,,1,,0,0,,,,,1,,,,Cantieristica,,,,,,,,,,,,0,Taglia,60×90 cm|90×135 cm,1,1,
,variation,MS-411-C-60X90-CM,Segnale di Corsie Chiuse Fig. 411/c,1,0,visible,,,taxable,,1,,0,0,,,,,1,,,40.94,Cantieristica,,,,,,MS-411-C,,,,,,0,Taglia,60×90 cm,1,1,
,variation,MS-411-C-90X135-CM,Segnale di Corsie Chiuse Fig. 411/c,1,0,visible,,,taxable,,1,,0,0,,,,,1,,,91.34,Cantieristica,,,,,,MS-411-C,,,,,,0,Taglia,90×135 cm,1,1,
,variable,MS-411-D,Segnale di Corsie Chiuse Fig. 411/d,1,0,visible,,,taxable,,1,,0,0,,,,,1,,,,Cantieristica,,,,,,,,,,,,0,Taglia,60×90 cm|90×135 cm,1,1,
,variation,MS-411-D-60X90-CM,Segnale di Corsie Chiuse Fig. 411/d,1,0,visible,,,taxable,,1,,0,0,,,,,1,,,40.94,Cantieristica,,,,,,MS-411-D,,,,,,0,Taglia,60×90 cm,1,1,
,variation,MS-411-D-90X135-CM,Segnale di Corsie Chiuse Fig. 411/d,1,0,visible,,,taxable,,1,,0,0,,,,,1,,,91.34,Cantieristica,,,,,,MS-411-D,,,,,,0,Taglia,90×135 cm,1,1,
,variable,MS-411-E,Segnale di Corsie Chiuse Fig. 411/e,1,0,visible,,,taxable,,1,,0,0,,,,,1,,,,Cantieristica,,,,,,,,,,,,0,Taglia,60×90 cm|90×135 cm,1,1,
